attendeeid,total minutes
13895,1
13896,1
13897,1
13898,1
13899,519
13900,519
13901,519
13902,519
13903,318
13904,318
13905,318
13906,318
13911,50
13912,50
13913,50
13914,50
13935,52
13936,52
13937,52
13938,52
13955,30
13956,30
13957,30
13958,30
13971,81
13972,81
13973,81
13974,81
13987,319
13988,319
13989,319
13990,319
13995,58
13996,58
13997,58
13998,58
13999,6
14000,6
14001,6
14002,6
14011,282
14012,282
14013,282
14014,282
14015,456
14016,456
14017,456
14018,456
14019,2
14020,2
14021,2
14022,2
14023,197
14024,197
14025,197
14026,197
14031,0
14032,0
14033,0
14034,0
14035,664
14036,664
14037,664
14038,664
14055,292
14056,292
14057,292
14058,292
14071,0
14072,0
14073,0
14074,0
14119,11
14120,11
14121,11
14122,11
14163,47
14164,47
14165,47
14166,47
14167,0
14168,0
14169,0
14170,0
14171,306
14172,306
14173,306
14174,306
14175,1
14176,1
14177,1
14178,1
14179,120
14180,120
14181,120
14182,120
14195,42
14196,42
14197,42
14198,42
14211,0
14212,0
14213,0
14214,0
14215,252
14216,252
14217,252
14218,252
14227,290
14228,290
14229,290
14230,290
14239,323
14240,323
14241,323
14242,323
14243,298
14244,298
14245,298
14246,298
14287,0
14288,0
14289,0
14290,0
14291,15
14292,15
14293,15
14294,15
14303,270
14304,270
14305,270
14306,270
14311,30
14312,30
14313,30
14314,30
14315,245
14316,245
14317,245
14318,245
14319,95
14320,95
14321,95
14322,95
14323,36
14324,36
14325,36
14326,36
14331,26
14332,26
14333,26
14334,26
14335,51
14336,51
14337,51
14338,51
14339,0
14340,0
14341,0
14342,0
14343,245
14344,245
14345,245
14346,245
14371,264
14372,264
14373,264
14374,264
14375,319
14376,319
14377,319
14378,319
14387,630
14388,630
14389,630
14390,630
14399,13
14400,13
14401,13
14402,13
14403,102
14404,102
14405,102
14406,102
14415,32
14416,32
14417,32
14418,32
14419,320
14420,320
14421,320
14422,320
14427,317
14428,317
14429,317
14430,317
14443,319
14444,319
14445,319
14446,319
14451,16
14452,16
14453,16
14454,16
14475,149
14476,149
14477,149
14478,149
14479,20
14480,20
14481,20
14482,20
14483,52
14484,52
14485,52
14486,52
14487,257
14488,257
14489,257
14490,257
14491,97
14492,97
14493,97
14494,97
14507,38
14508,38
14509,38
14510,38
14519,144
14520,144
14521,144
14522,144
14539,47
14540,47
14541,47
14542,47
14547,228
14548,228
14549,228
14550,228
14575,299
14576,299
14577,299
14578,299
14579,30
14580,30
14581,30
14582,30
14619,2
14620,2
14621,2
14622,2
14623,219
14624,219
14625,219
14626,219
14631,40
14632,40
14633,40
14634,40
14639,290
14640,290
14641,290
14642,290
14643,181
14644,181
14645,181
14646,181
14647,272
14648,272
14649,272
14650,272
14679,245
14680,245
14681,245
14682,245
14683,44
14684,44
14685,44
14686,44
14699,11
14700,11
14701,11
14702,11
14703,30
14704,30
14705,30
14706,30
14707,193
14708,193
14709,193
14710,193
14711,319
14712,319
14713,319
14714,319
14715,101
14716,101
14717,101
14718,101
14723,302
14724,302
14725,302
14726,302
14739,320
14740,320
14741,320
14742,320
14747,357
14748,357
14749,357
14750,357
14751,319
14752,319
14753,319
14754,319
14755,5
14756,5
14757,5
14758,5
14763,219
14764,219
14765,219
14766,219
14767,274
14768,274
14769,274
14770,274
14771,319
14772,319
14773,319
14774,319
14775,110
14776,110
14777,110
14778,110
14783,65
14784,65
14785,65
14786,65
14795,318
14796,318
14797,318
14798,318
14799,282
14800,282
14801,282
14802,282
14803,132
14804,132
14805,132
14806,132
14811,8
14812,8
14813,8
14814,8
14819,3
14820,3
14821,3
14822,3
14827,180
14828,180
14829,180
14830,180
14839,297
14840,297
14841,297
14842,297
14847,7
14848,7
14849,7
14850,7
14851,116
14852,116
14853,116
14854,116
14855,136
14856,136
14857,136
14858,136
14859,200
14860,200
14861,200
14862,200
14871,231
14872,231
14873,231
14874,231
14899,46
14900,46
14901,46
14902,46
14903,277
14904,277
14905,277
14906,277
14907,183
14908,183
14909,183
14910,183
14927,320
14928,320
14929,320
14930,320
14931,310
14932,310
14933,310
14934,310
14939,237
14940,237
14941,237
14942,237
14943,22
14944,22
14945,22
14946,22
14947,20
14948,20
14949,20
14950,20
14951,27
14952,27
14953,27
14954,27
14955,245
14956,245
14957,245
14958,245
14967,40
14968,40
14969,40
14970,40
14971,44
14972,44
14973,44
14974,44
14979,40
14980,40
14981,40
14982,40
14983,23
14984,23
14985,23
14986,23
14987,267
14988,267
14989,267
14990,267
14991,290
14992,290
14993,290
14994,290
14995,318
14996,318
14997,318
14998,318
14999,287
15000,287
15001,287
15002,287
15003,237
15004,237
15005,237
15006,237
15015,292
15016,292
15017,292
15018,292
15019,42
15020,42
15021,42
15022,42
15031,92
15032,92
15033,92
15034,92
15035,60
15036,60
15037,60
15038,60
15059,11
15060,11
15061,11
15062,11
15063,314
15064,314
15065,314
15066,314
15067,145
15068,145
15069,145
15070,145
15115,0
15116,0
15117,0
15118,0
15131,20
15132,20
15133,20
15134,20
15135,10
15136,10
15137,10
15138,10
15139,25
15140,25
15141,25
15142,25
15175,57
15176,57
15177,57
15178,57
15179,146
15180,146
15181,146
15182,146
15183,247
15184,247
15185,247
15186,247
15187,212
15188,212
15189,212
15190,212
15191,319
15192,319
15193,319
15194,319
15195,246
15196,246
15197,246
15198,246
15199,217
15200,217
15201,217
15202,217
15211,97
15212,97
15213,97
15214,97
15215,187
15216,187
15217,187
15218,187
15219,5
15220,5
15221,5
15222,5
15227,8
15228,8
15229,8
15230,8
15243,12
15244,12
15245,12
15246,12
15271,106
15272,106
15273,106
15274,106
15275,136
15276,136
15277,136
15278,136
15291,269
15292,269
15293,269
15294,269
15295,88
15296,88
15297,88
15298,88
15307,50
15308,50
15309,50
15310,50
15311,319
15312,319
15313,319
15314,319
15315,109
15316,109
15317,109
15318,109
15319,171
15320,171
15321,171
15322,171
15323,319
15324,319
15325,319
15326,319
15327,295
15328,295
15329,295
15330,295
15331,1
15332,1
15333,1
15334,1
15339,0
15340,0
15341,0
15342,0
15363,305
15364,305
15365,305
15366,305
15367,313
15368,313
15369,313
15370,313
15371,291
15372,291
15373,291
15374,291
15375,5
15376,5
15377,5
15378,5
15379,499
15380,499
15381,499
15382,499
15387,28
15388,28
15389,28
15390,28
15395,302
15396,302
15397,302
15398,302
15403,319
15404,319
15405,319
15406,319
15419,284
15420,284
15421,284
15422,284
15427,198
15428,198
15429,198
15430,198
15451,34
15452,34
15453,34
15454,34
15455,319
15456,319
15457,319
15458,319
15471,293
15472,293
15473,293
15474,293
15475,320
15476,320
15477,320
15478,320
15479,329
15480,329
15481,329
15482,329
15491,1
15492,1
15493,1
15494,1
15499,33
15500,33
15501,33
15502,33
15503,15
15504,15
15505,15
15506,15
15531,29
15532,29
15533,29
15534,29
15551,100
15552,100
15553,100
15554,100
15555,35
15556,35
15557,35
15558,35
15563,10
15564,10
15565,10
15566,10
15571,84
15572,84
15573,84
15574,84
15575,40
15576,40
15577,40
15578,40
15583,320
15584,320
15585,320
15586,320
15587,316
15588,316
15589,316
15590,316
15591,313
15592,313
15593,313
15594,313
15623,319
15624,319
15625,319
15626,319
15627,128
15628,128
15629,128
15630,128
15631,62
15632,62
15633,62
15634,62
15635,352
15636,352
15637,352
15638,352
15639,18
15640,18
15641,18
15642,18
15643,294
15644,294
15645,294
15646,294
15647,287
15648,287
15649,287
15650,287
15651,151
15652,151
15653,151
15654,151
15663,20
15664,20
15665,20
15666,20
15671,315
15672,315
15673,315
15674,315
15679,80
15680,80
15681,80
15682,80
15683,166
15684,166
15685,166
15686,166
15687,4
15688,4
15689,4
15690,4
15727,396
15728,396
15729,396
15730,396
15763,98
15764,98
15765,98
15766,98
